City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Broken Hill,AU,-31.95,141.4333,47.26,54,0,14.47,clear sky
336,Nelson Bay,AU,-32.7167,152.15,46.99,96,0,9.62,clear sky
337,Cherskiy,RU,68.75,161.3,62.87,32,6,3.56,clear sky
338,Beaverlodge,CA,55.2166,-119.4361,65.55,49,100,11.83,overcast clouds
339,Kyaikkami,MM,16.08,97.5675,79.52,86,60,4.41,broken clouds
340,Ixtapa,MX,20.7,-105.2,87.03,66,20,16.11,few clouds
341,Lamu,KE,-2.2717,40.902,77.22,80,2,13.38,clear sky
342,Martinsville,US,36.6915,-79.8725,93.34,70,0,3.44,clear sky
343,Ardakan,IR,32.31,54.0175,90.14,11,4,8.68,clear sky
344,Khandbari,NP,27.3747,87.2039,73.08,84,75,2.59,moderate rain
345,Road Town,VG,18.4167,-64.6167,86.04,70,40,11.5,scattered clouds
