City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
130,Maniitsoq,11,GL,2022-06-13 21:46:02,74,65.4167,-52.9,36.48,18.72
131,Santiago,100,CL,2022-06-13 21:46:03,52,-33.4569,-70.6483,62.04,13.8
132,Marrakesh,75,MA,2022-06-13 21:44:46,57,31.6315,-8.0083,80.67,10.36
133,Moville,65,US,2022-06-13 21:46:03,48,42.4889,-96.0725,96.76,11.07
134,Amapa,7,BR,2022-06-13 21:46:04,76,1.0,-52.0,75.74,1.74
135,Tenenkou,7,ML,2022-06-13 21:46:04,30,14.4572,-4.9169,95.59,10.71
136,Talnakh,76,RU,2022-06-13 21:46:04,63,69.4865,88.3972,58.46,0.6
137,Sohbatpur,52,PK,2022-06-13 21:47:05,38,28.5202,68.5434,95.2,4.83
138,Seinajoki,34,FI,2022-06-13 21:47:05,80,62.7945,22.8282,53.24,2.3
139,Rudbar,13,AF,2022-06-13 21:47:06,16,30.15,62.6,89.17,6.06
140,Hithadhoo,59,MV,2022-06-13 21:47:06,73,-0.6,73.0833,83.1,8.1
141,Indramayu,99,ID,2022-06-13 21:47:07,81,-6.3264,108.32,78.26,5.37
142,Malanje,31,AO,2022-06-13 21:47:07,38,-9.5402,16.341,59.63,1.99
143,Dingle,77,PH,2022-06-13 21:47:07,87,10.9995,122.6711,77.67,2.55
144,Axim,7,GH,2022-06-13 21:47:08,79,4.8699,-2.2405,78.37,8.41
145,Strezhevoy,56,RU,2022-06-13 21:47:08,97,60.7333,77.5889,53.13,5.59
146,Pontianak,100,ID,2022-06-13 21:47:09,100,-0.0333,109.3333,75.18,2.3
147,Santa Rosalia,6,MX,2022-06-13 21:47:09,41,27.3167,-112.2833,88.45,5.53
148,Namibe,0,AO,2022-06-13 21:47:02,66,-15.1961,12.1522,66.49,7.58
149,Ndele,95,CF,2022-06-13 21:47:09,89,8.4109,20.6473,71.11,3.42
150,Port Augusta,62,AU,2022-06-13 21:47:10,62,-32.5,137.7667,50.43,16.91
151,Amecameca,100,MX,2022-06-13 21:46:48,68,19.1167,-98.7667,72.32,2.73
152,Mercedes,54,AR,2022-06-13 21:47:10,57,-34.6515,-59.4307,56.64,9.08
153,Bubaque,81,GW,2022-06-13 21:47:11,84,11.2833,-15.8333,79.95,14.5
154,Novouzensk,0,RU,2022-06-13 21:47:11,66,50.4592,48.1431,60.15,6.51
155,Mehamn,75,NO,2022-06-13 21:47:12,93,71.0357,27.8492,42.75,10.36
156,Tiksi,100,RU,2022-06-13 21:47:12,56,71.6872,128.8694,50.11,2.04
157,Diu,43,IN,2022-06-13 21:47:12,77,20.7141,70.9822,82.67,12.64
158,Avarua,99,CK,2022-06-13 21:47:13,69,-21.2078,-159.775,82.45,9.22
159,Nijar,0,ES,2022-06-13 21:47:13,69,36.9665,-2.206,74.66,8.05
160,Karratha,0,AU,2022-06-13 21:47:14,59,-20.7377,116.8463,71.55,8.16
161,Saint-Philippe,52,RE,2022-06-13 21:47:14,77,-21.3585,55.7679,67.59,14.85
162,Kanniyakumari,85,IN,2022-06-13 21:47:14,81,8.0833,77.5667,80.37,18.54
163,Sawtell,3,AU,2022-06-13 21:47:15,93,-30.3833,153.1,44.62,1.14
164,Kokstad,100,ZA,2022-06-13 21:47:15,43,-30.5472,29.4241,48.9,4.83
165,Havre-Saint-Pierre,100,CA,2022-06-13 21:47:16,63,50.2334,-63.5986,61.16,14.97
166,Victoria,100,HK,2022-06-13 21:42:58,87,22.2855,114.1577,84.38,11.01
167,Chuy,24,UY,2022-06-13 21:47:16,90,-33.6971,-53.4616,52.43,5.06
168,Oistins,75,BB,2022-06-13 21:45:29,88,13.0667,-59.5333,77.09,8.05
169,Akhaldaba,100,GE,2022-06-13 21:47:17,93,41.654,42.1516,57.76,3.85
170,Nemuro,16,JP,2022-06-13 21:45:37,81,43.3236,145.575,48.16,3.74
171,Atuona,6,PF,2022-06-13 21:47:17,64,-9.8,-139.0333,77.97,17.36
172,Cabo San Lucas,1,MX,2022-06-13 21:45:28,59,22.8909,-109.9124,91.18,14.12
173,Kahului,20,US,2022-06-13 21:47:18,59,20.8947,-156.47,87.82,24.16
174,Yulara,0,AU,2022-06-13 21:47:18,44,-25.2406,130.9889,50.97,1.81
175,Yei,30,SS,2022-06-13 21:47:19,81,4.095,30.6779,67.87,3.67
176,Jalu,2,LY,2022-06-13 21:47:19,47,29.0331,21.5482,77.07,15.3
177,Diourbel,0,SN,2022-06-13 21:47:20,70,14.6628,-16.3925,84.18,11.5
178,Mosbach,64,DE,2022-06-13 21:47:20,66,49.3539,9.1428,59.07,4.83
179,Porto Novo,97,BJ,2022-06-13 21:47:20,84,6.4965,2.6036,82.22,9.31
180,Ilulissat,75,GL,2022-06-13 21:44:14,75,69.2167,-51.1,35.62,5.75
181,Hue,40,VN,2022-06-13 21:47:21,83,16.4667,107.6,80.71,5.75
182,Alofi,75,NU,2022-06-13 21:47:21,88,-19.0595,-169.9187,76.89,9.22
183,Vila Do Maio,6,CV,2022-06-13 21:47:22,89,15.1333,-23.2167,75.99,15.41
184,Clyde River,100,CA,2022-06-13 21:47:22,81,70.4692,-68.5914,37.63,2.3
185,Jawhar,34,SO,2022-06-13 21:47:23,84,2.7809,45.5005,75.11,14.54
186,Kirakira,60,SB,2022-06-13 21:47:23,79,-10.4544,161.9205,82.29,7.87
187,Hobyo,14,SO,2022-06-13 21:48:23,83,5.3505,48.5268,78.57,27.49
188,Lebu,100,CL,2022-06-13 21:48:24,89,-37.6167,-73.65,51.03,8.72
189,Kutum,100,SD,2022-06-13 21:48:24,48,14.2,24.6667,75.24,13.51
190,Fortuna,20,US,2022-06-13 21:48:25,62,40.5982,-124.1573,64.85,23.02
191,Imbituba,4,BR,2022-06-13 21:48:25,95,-28.24,-48.6703,61.86,5.01
192,Ulladulla,9,AU,2022-06-13 21:48:25,77,-35.35,150.4667,43.57,4.32
193,Bemidji,100,US,2022-06-13 21:48:26,83,47.4736,-94.8803,77.56,9.22
194,Arraial Do Cabo,75,BR,2022-06-13 21:48:26,77,-22.9661,-42.0278,67.96,25.32
195,Hilo,40,US,2022-06-13 21:48:27,70,19.7297,-155.09,89.28,11.5
196,Wasilla,100,US,2022-06-13 21:48:27,58,61.5814,-149.4394,67.06,10.0
197,Cidreira,97,BR,2022-06-13 21:48:27,86,-30.1811,-50.2056,57.94,3.98
198,Slave Lake,20,CA,2022-06-13 21:45:19,52,55.2834,-114.769,67.98,8.05
199,Morinville,75,CA,2022-06-13 21:48:28,40,53.8001,-113.652,71.85,8.05
200,Bowen,0,AU,2022-06-13 21:48:28,68,-20.0167,148.2333,59.02,8.63
201,Pisco,100,PE,2022-06-13 21:45:04,82,-13.7,-76.2167,61.02,4.61
202,Yumen,0,CN,2022-06-13 21:48:29,12,40.2833,97.2,62.82,7.52
203,Yuzhno-Kurilsk,5,RU,2022-06-13 21:48:29,72,44.0306,145.8556,50.07,3.85
204,Saint Anthony,75,US,2022-06-13 21:44:23,76,45.0205,-93.218,82.96,13.8
205,Gorontalo,100,ID,2022-06-13 21:48:30,95,0.5412,123.0595,73.02,2.8
206,Killybegs,100,IE,2022-06-13 21:48:30,81,54.6333,-8.45,53.15,10.96
